course_id,course_title,url,level,subject,,,
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,All Levels,Business Finance,,,
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,All Levels,Business Finance,,,
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,Beginner Level,Business Finance,,,
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,Intermediate Level,Business Finance,,,
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,All Levels,Business Finance,,,
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,All Levels,Business Finance,,,
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,All Levels,Business Finance,,,
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,All Levels,Business Finance,,,
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,All Levels,Business Finance,,,
848664,Option Trading for Rookies: Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,All Levels,Business Finance,,,
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,Expert Level,Business Finance,,,
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,All Levels,Business Finance,,,
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,Intermediate Level,Business Finance,,,
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,All Levels,Business Finance,,,
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,All Levels,Business Finance,,,
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,Beginner Level,Business Finance,,,
153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,Beginner Level,Business Finance,,,
834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,Intermediate Level,Business Finance,,,
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,Intermediate Level,Business Finance,,,
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,All Levels,Business Finance,,,
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,All Levels,Business Finance,,,
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,Beginner Level,Business Finance,,,
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,All Levels,Business Finance,,,
855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,All Levels,Business Finance,,,
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,All Levels,Business Finance,,,
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,All Levels,Business Finance,,,
43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,Beginner Level,Business Finance,,,
408440,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,All Levels,Business Finance,,,
918688,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,All Levels,Business Finance,,,
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,All Levels,Business Finance,,,
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,All Levels,Business Finance,,,
401784,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,Beginner Level,Business Finance,,,
1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,All Levels,Business Finance,,,
709500,Forex Trading - Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,All Levels,Business Finance,,,
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,Beginner Level,Business Finance,,,
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,All Levels,Business Finance,,,
834558,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,All Levels,Business Finance,,,
551968,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,All Levels,Business Finance,,,
1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,Beginner Level,Business Finance,,,
